Zip Code,Households With Computer,Households With Broadband Internet
06020,19,19
06021,567,515
06022,23,23
06023,661,643
06024,189,189
06026,1823,1743
06027,595,592
06029,6464,6265
06031,588,585
06032,7319,7137
06033,11350,11037
06035,3069,3005
06037,6785,6550
06039,704,691
06040,14001,13285
06042,9863,9638
06043,1839,1772
06051,10570,9173
06052,3085,2784
06053,11469,10183
06057,2372,2292
06058,669,652
06059,17,17
06060,772,759
06061,110,110
06062,6985,6513
06063,1195,1138
06065,223,218
06066,13006,12068
06067,8417,8146
06068,666,666
06069,1106,1054
06070,5538,5518
06071,3233,3167
06072,,
06073,2111,1946
06074,9354,9275
06076,4775,4507
06078,3768,3587
06079,21,
06080,,
06081,600,547
06082,15671,15224
06084,5268,5189
06085,2778,2691
06088,2032,2009
06089,1186,1163
06090,294,277
06091,93,93
06092,1405,1395
06093,1245,1227
06095,10680,10316
06096,4910,4496
06098,4392,4096
06103,1345,1287
06105,8713,8047
06106,12485,11400
06107,7678,7433
06108,8551,7648
06109,10661,9966
06110,5051,4850
06111,11620,10887
06112,6598,5602
06114,8639,7995
06117,5495,5370
06118,9705,9260
06119,6131,5887
06120,4117,3367
06226,6153,5627
06231,1376,1337
06232,1171,1150
06234,2543,2421
06235,801,753
06237,2160,2104
06238,4610,4523
06239,3998,3712
06241,2556,2517
06242,491,476
06243,57,57
06247,931,870
06248,2049,2032
06249,2745,2701
06250,2099,2069
06254,642,616
06255,1718,1653
06256,896,879
06258,,
06259,1663,1525
06260,3405,3210
06262,239,208
06263,70,64
06264,70,70
06266,103,103
06268,3707,3084
06269,134,118
06277,1389,1385
06278,1737,1675
06279,2437,2243
06280,1308,1299
06281,2800,2721
